Year,Type of skill,Sex,Units,Value
2015,SKILL_READ,,%,82.6
2012,SKILL_READ,,%,85.6
2018,SKILL_READ,,%,77.0
2022,SKILL_READ,,%,74.2
2022,SKILL_READ,Female,%,80.1
2015,SKILL_READ,Female,%,86.6
2012,SKILL_READ,Female,%,90.1
2018,SKILL_READ,Female,%,83.6
2022,SKILL_READ,Male,%,68.3
2015,SKILL_READ,Male,%,78.4
2018,SKILL_READ,Male,%,70.2
2012,SKILL_READ,Male,%,81.1
2015,SKILL_MATH,,%,80.5
2012,SKILL_MATH,,%,84.5
2018,SKILL_MATH,,%,81.9
2022,SKILL_MATH,,%,77.3
2018,SKILL_MATH,Female,%,83.4
2022,SKILL_MATH,Female,%,78.0
2012,SKILL_MATH,Female,%,83.4
2015,SKILL_MATH,Female,%,79.9
2018,SKILL_MATH,Male,%,80.3
2015,SKILL_MATH,Male,%,81.1
2012,SKILL_MATH,Male,%,85.6
2022,SKILL_MATH,Male,%,76.7
