Year,Series,Units,Value
2014,Official development assistance for agriculture (total gross disbursement),Millions of euros,6.71
2015,Official development assistance for agriculture (total gross disbursement),Millions of euros,5.61
2016,Official development assistance for agriculture (total gross disbursement),Millions of euros,7.37
2017,Official development assistance for agriculture (total gross disbursement),Millions of euros,6.58
2018,Official development assistance for agriculture (total gross disbursement),Millions of euros,3.69
2019,Official development assistance for agriculture (total gross disbursement),Millions of euros,2.72
2020,Official development assistance for agriculture (total gross disbursement),Millions of euros,3.49
2021,Official development assistance for agriculture (total gross disbursement),Millions of euros,5.28
2022,Official development assistance for agriculture (total gross disbursement),Millions of euros,5.56
2023,Official development assistance for agriculture (total gross disbursement),Millions of euros,5.94
2024,Official development assistance for agriculture (total gross disbursement),Millions of euros,5.39
